airtable_record_id,jurisdiction,state,shovels_coverage_status,reg09_permits_shovels,rsc05_median_approval_days_shovels,shovels_last_synced
rec4YKskSuDxDMaWX,Jefferson County AL,AL,Covered,23,0.0,2026-07-07
recwtMDKqcUxHgQik,Madison County AL,AL,Covered,1,,2026-07-07
recuz3wCUvtCuoJmX,Maricopa County AZ,AZ,Covered,181,0.0,2026-07-07
recL9kBmQ7fqIX6fa,Pinal County AZ,AZ,Covered,9,0.0,2026-07-07
recRxFgCE91dnmbVK,Alameda County CA,CA,Covered,37,0.0,2026-07-07
recXKRdflMs2iqFVK,Los Angeles County CA,CA,Covered,244,77.0,2026-07-07
reckmy1HSUGqtfkGU,Sacramento County CA,CA,Covered,38,0.0,2026-07-07
rec8jQcB7bZh47HOk,Santa Clara County CA,CA,Covered,21,1.0,2026-07-07
rec3Xe63ZTVNIRN5o,Adams County CO,CO,Covered,16,16.0,2026-07-07
rec97bZbojnboeMaj,Jefferson County CO,CO,Covered,21,26.0,2026-07-07
recf9Pwo1lILnK0Hk,Weld County CO,CO,Covered,35,0.0,2026-07-07
recBqvobG0andDjAT,New Castle County DE,DE,Covered,1,0.0,2026-07-07
recO1lo8xXs11vReq,Hillsborough County FL,FL,Covered,64,0.0,2026-07-07
recAX4CBMVRtDuIqQ,Miami-Dade County FL,FL,Covered,47,6.0,2026-07-07
recZUalap1beIfNq1,Pasco County FL,FL,Covered,55,0.0,2026-07-07
recGjrYX3244rFAOI,Polk County FL,FL,Covered,19,0.0,2026-07-07
recDFGNdcZ3uBTcNY,Forsyth County GA,GA,Covered,5,63.5,2026-07-07
recBitDDoulktHeJx,Fulton County GA,GA,Covered,26,0.0,2026-07-07
recoohDGv0c0a7sa5,Gwinnett County GA,GA,Covered,11,6.0,2026-07-07
recqRe2BXz1689RA7,Henry County GA,GA,Covered,1,0.0,2026-07-07
recT0L5PTcuD48zD6,Dallas County IA,IA,Covered,2,15.0,2026-07-07
recfFLIkLCwsUc1EY,Ada County ID,ID,Covered,29,0.0,2026-07-07
rec65gXENxuaOazAf,Cook County IL,IL,Covered,16,69.0,2026-07-07
recKFjLbvUekOmS0Y,DuPage County IL,IL,Covered,4,12.5,2026-07-07
recv3sKQ5Ql08BpOd,Johnson County KS,KS,Covered,2,,2026-07-07
recKkq0zvUEEygDPY,Fayette County KY,KY,Covered,1,146.0,2026-07-07
recHGmNYGyEHCfI4y,Jefferson County KY,KY,Covered,164,0.0,2026-07-07
recOpnLaLyE5NZ1hJ,Bossier Parish LA,LA,Covered,18,92.5,2026-07-07
recE095nTo6xWbOzV,Suffolk County MA,MA,Covered,9,,2026-07-07
recjIVA5qcv0VHfCe,Kennebec County ME,ME,Covered,1,0.0,2026-07-07
recnXFVZATGrLIOF3,Kent County MI,MI,Covered,31,0.0,2026-07-07
recpa44Ab0Rr3rpjN,Dakota County MN,MN,Covered,21,0.0,2026-07-07
recF69HgQFGsMRCqs,St. Charles County MO,MO,Covered,2,,2026-07-07
recR9mYwUDxJvGE74,Buncombe County NC,NC,Covered,1,0.0,2026-07-07
recj6j1hDNvKAzlcy,Cabarrus County NC,NC,Covered,2,0.0,2026-07-07
rec1O8q8rGX10RVnQ,Guilford County NC,NC,Covered,25,1.0,2026-07-07
rec69VqUVcVWJUVJD,Cass County ND,ND,Covered,4,0.0,2026-07-07
reckchCfgtKUmUHvZ,Douglas County NE,NE,Covered,51,0.0,2026-07-07
rec3aIIqYmIIvHP8J,Bernalillo County NM,NM,Covered,7,0.0,2026-07-07
recpiRCBgPLWmAK79,Clark County NV,NV,Covered,443,0.0,2026-07-07
recVptsuaZ8hb9Hmo,Washoe County NV,NV,Covered,54,,2026-07-07
rec7Gs9EeXAVF4yj1,New York County NY,NY,Covered,2,,2026-07-07
rec8hDdLBLZQEEPEN,Delaware County OH,OH,Covered,78,0.0,2026-07-07
recPmGCVSB127gtMq,Cleveland County OK,OK,Covered,1,12.0,2026-07-07
